data;godzina;temperatura;cisnienie;predkosc_wiatru;kierunek_wiatru
2017-05-01;00:00:00+00;2.1;932.5;3.8;240.1
2017-05-01;01:00:00+00;2.1;932.7;2.9;244.1
2017-05-01;02:00:00+00;1.6;932.9;2.8;247.4
2017-05-01;03:00:00+00;1.1;933;3.4;243.1
2017-05-01;04:00:00+00;2.1;932.8;3.3;240.4
2017-05-01;05:00:00+00;2.5;932.3;3.1;218.7
2017-05-01;06:00:00+00;3.9;931.2;2.8;230.1
2017-05-01;07:00:00+00;5.8;928.7;2;260.4
2017-05-01;08:00:00+00;7.7;926.6;1.6;228.5
2017-05-01;09:00:00+00;9;925.5;1.6;247.4
2017-05-01;10:00:00+00;10.7;924.7;2.1;307.8
2017-05-01;11:00:00+00;12.2;924.1;2.3;320.2
2017-05-01;12:00:00+00;13.8;923;2.3;2.8
2017-05-01;13:00:00+00;13.7;922.4;2.7;265.9
2017-05-01;14:00:00+00;13.9;922.6;3.3;255.7
2017-05-01;15:00:00+00;14;922.6;2.8;245.4
2017-05-01;16:00:00+00;13.5;922.6;2.9;241.6
2017-05-01;17:00:00+00;12.1;922.8;3.1;231.4
2017-05-01;18:00:00+00;10;924.3;3.5;238.3
2017-05-01;19:00:00+00;8.1;926.5;3.8;231
2017-05-01;20:00:00+00;7.4;928.1;2.7;251.3
2017-05-01;21:00:00+00;7;928.7;3.4;250.3
2017-05-01;22:00:00+00;7.9;929.2;1.8;270.9
2017-05-01;23:00:00+00;9.7;929.1;0.9;298.3
2017-05-02;00:00:00+00;9.6;928.7;1.1;263
2017-05-02;01:00:00+00;9.1;928.5;1.4;266
2017-05-02;02:00:00+00;9.3;928.5;1.5;271.4
2017-05-02;03:00:00+00;9.3;928.3;1.3;254.2
2017-05-02;04:00:00+00;9.5;928.1;0.7;267.5
2017-05-02;05:00:00+00;10.6;927.7;1.4;269.3
2017-05-02;06:00:00+00;10.4;927.1;2.1;240.3
2017-05-02;07:00:00+00;11.5;926.1;1.6;232.4
2017-05-02;08:00:00+00;12.8;925.6;0.9;173.9
2017-05-02;09:00:00+00;12.8;925.8;1.2;260.7
2017-05-02;10:00:00+00;11.2;926.3;0.9;112.1
2017-05-02;11:00:00+00;8.2;927.9;1.1;142.3
2017-05-02;12:00:00+00;9.6;928.8;1.2;319.7
2017-05-02;13:00:00+00;10.9;928.7;1.8;346.9
2017-05-02;14:00:00+00;9.8;928.6;1.5;123.7
2017-05-02;15:00:00+00;8.9;929.4;1.1;156.8
2017-05-02;16:00:00+00;8.8;929.6;1;150.3
2017-05-02;17:00:00+00;8.6;930.3;1;151
2017-05-02;18:00:00+00;8.4;930.7;0.7;149.6
2017-05-02;19:00:00+00;8.5;931.4;1.1;201.5
2017-05-02;20:00:00+00;8.3;931.9;0.3;131.8
2017-05-02;21:00:00+00;8.6;932.1;0.4;151.8
2017-05-02;22:00:00+00;8.4;932.5;0.9;228.3
2017-05-02;23:00:00+00;8.3;932.9;0.7;216.4
2017-05-03;00:00:00+00;8.6;932.7;0.5;208.2
2017-05-03;01:00:00+00;8.1;932.6;0.5;173
2017-05-03;02:00:00+00;8.3;932.6;1.3;214.7
2017-05-03;03:00:00+00;8.5;932.2;1.8;219
2017-05-03;04:00:00+00;8.9;932;2.6;228.4
2017-05-03;05:00:00+00;9;931.8;2.6;235
2017-05-03;06:00:00+00;9.1;931.6;1.6;225.3
2017-05-03;07:00:00+00;9.6;931.3;1.2;214.5
2017-05-03;08:00:00+00;11.1;930;2;236.1
2017-05-03;09:00:00+00;12.3;928.7;2.1;239.6
2017-05-03;10:00:00+00;13.5;927.9;1.8;248
2017-05-03;11:00:00+00;14;927.3;1.2;207.8
2017-05-03;12:00:00+00;13.9;927.4;1.4;230.3
2017-05-03;13:00:00+00;13.5;927.3;1;60.6
2017-05-03;14:00:00+00;12.5;927.9;1.2;116.1
2017-05-03;15:00:00+00;13.2;927.4;1.6;115.3
2017-05-03;16:00:00+00;12.4;926.9;1.7;128.5
2017-05-03;17:00:00+00;11.2;927.7;0.8;186.3
2017-05-03;18:00:00+00;10.2;928.5;1.6;229
2017-05-03;19:00:00+00;9.6;928.9;1.9;225.3
2017-05-03;20:00:00+00;9.1;929.3;1.6;212.1
2017-05-03;21:00:00+00;9.4;928.3;2;198.3
2017-05-03;22:00:00+00;9.2;927.9;1.1;8.6
2017-05-03;23:00:00+00;8.6;928.2;0.8;296.2
2017-05-04;00:00:00+00;9.3;927.7;1.5;263.3
2017-05-04;01:00:00+00;10.4;927.1;1.5;296
2017-05-04;02:00:00+00;9.5;926.9;0.8;316.5
2017-05-04;03:00:00+00;9.2;927;1;321.8
2017-05-04;04:00:00+00;9.3;926.9;1;325.5
2017-05-04;05:00:00+00;9.4;926.7;0.8;339.8
2017-05-04;06:00:00+00;8.9;926.6;0.3;26.1
2017-05-04;07:00:00+00;8.5;926.7;1;4.9
2017-05-04;08:00:00+00;8.6;926.7;0.6;107.4
2017-05-04;09:00:00+00;8.6;927.2;0.5;75.5
2017-05-04;10:00:00+00;9.4;927.4;1;319.5
2017-05-04;11:00:00+00;9.9;927.3;1;25
2017-05-04;12:00:00+00;10.3;926.7;2.5;1.9
2017-05-04;13:00:00+00;10.3;926.8;2.2;350.2
2017-05-04;14:00:00+00;11.6;926;2.7;1.2
2017-05-04;15:00:00+00;12.2;925.3;2.3;351.8
2017-05-04;16:00:00+00;13.4;924.8;2;11.6
2017-05-04;17:00:00+00;13;924.1;0.7;117.6
2017-05-04;18:00:00+00;12.2;924.5;0.5;345.8
2017-05-04;19:00:00+00;11.2;926.7;1.3;266.7
2017-05-04;20:00:00+00;10;927.9;1.7;250.8
2017-05-04;21:00:00+00;9.5;928.5;1.8;255.1
2017-05-04;22:00:00+00;10.3;928.9;1.4;297.2
2017-05-04;23:00:00+00;10.6;928.8;2;312
2017-05-05;00:00:00+00;10.6;928.5;2;304.2
2017-05-05;01:00:00+00;10.4;928.3;1.9;297.6
2017-05-05;02:00:00+00;10.4;928.4;2;298.3
2017-05-05;03:00:00+00;10.9;928.2;2.2;302.3
2017-05-05;04:00:00+00;11.2;927.8;2.2;309.6
2017-05-05;05:00:00+00;11.4;927.9;1.5;320.3
2017-05-05;06:00:00+00;12.6;927.4;1.7;334.8
2017-05-05;07:00:00+00;13.7;925.6;1.7;354.5
2017-05-05;08:00:00+00;13;926;1.5;75.4
2017-05-05;09:00:00+00;12;926.9;1.6;136.3
2017-05-05;10:00:00+00;12.8;926.9;2.2;126.3
2017-05-05;11:00:00+00;12.9;926.5;2.7;124.3
2017-05-05;12:00:00+00;14;925.9;2.5;127.6
2017-05-05;13:00:00+00;14.7;925.2;2.3;146.2
2017-05-05;14:00:00+00;15.4;924.6;2.3;148.5
2017-05-05;15:00:00+00;14.3;924.7;1.8;156.3
2017-05-05;16:00:00+00;15.2;924.5;1.8;160.1
2017-05-05;17:00:00+00;13.6;924.7;1.5;170.8
2017-05-05;18:00:00+00;12.6;926;1;177.9
2017-05-05;19:00:00+00;10.8;927.7;0.7;164.9
2017-05-05;20:00:00+00;10;928.6;0.8;150.6
2017-05-05;21:00:00+00;9.8;928.5;0.8;147.5
2017-05-05;22:00:00+00;9.6;928.4;1.1;134.4
2017-05-05;23:00:00+00;9.3;928.3;1.3;131.1
2017-05-06;00:00:00+00;9.2;928.1;0.7;132.6
2017-05-06;01:00:00+00;9;927.7;1.1;147.3
2017-05-06;02:00:00+00;8.8;927.6;0.8;145.6
2017-05-06;03:00:00+00;8.8;927.4;0.5;157.2
2017-05-06;04:00:00+00;8.7;927.3;0.6;137
2017-05-06;05:00:00+00;8.7;927.3;0.4;110.5
2017-05-06;06:00:00+00;8.7;927.4;0.9;79.1
2017-05-06;07:00:00+00;8.9;927.5;0.9;99
2017-05-06;08:00:00+00;9.1;927.1;1.2;108.1
2017-05-06;09:00:00+00;9.3;926.8;1;118.7
2017-05-06;10:00:00+00;9.4;926.7;1.3;74.7
2017-05-06;11:00:00+00;9.3;926.9;1.3;73.7
2017-05-06;12:00:00+00;9.9;926.4;1.3;70.7
2017-05-06;13:00:00+00;10.2;924.8;1.2;135.3
2017-05-06;14:00:00+00;11.1;923.9;1.3;128.5
2017-05-06;15:00:00+00;12.3;922.4;1.9;124.7
2017-05-06;16:00:00+00;13.1;921.1;1.8;127.2
2017-05-06;17:00:00+00;12.3;921.1;1.1;136.5
2017-05-06;18:00:00+00;11.3;922.3;1.1;204.3
2017-05-06;19:00:00+00;10.6;923.4;1.2;240
2017-05-06;20:00:00+00;10;923.8;1.3;304
2017-05-06;21:00:00+00;9.7;923.2;2.1;254.8
2017-05-06;22:00:00+00;10.6;923;1.5;262.6
2017-05-06;23:00:00+00;10.9;922.8;0.8;315.9
2017-05-07;00:00:00+00;10.9;922.3;1.6;294
2017-05-07;01:00:00+00;8.7;922.3;0.8;186.1
2017-05-07;02:00:00+00;8.6;922.4;0.9;197
2017-05-07;03:00:00+00;8.4;922.2;0.8;154.6
2017-05-07;04:00:00+00;8.5;921.7;0.4;152.7
2017-05-07;05:00:00+00;8.5;921.5;0.9;142
2017-05-07;06:00:00+00;8.1;921.9;1.5;129.5
2017-05-07;07:00:00+00;7.9;922.2;1.7;131.2
2017-05-07;08:00:00+00;7.8;922.6;0.9;163.2
2017-05-07;09:00:00+00;7.9;922.6;1.9;127.4
2017-05-07;10:00:00+00;7.9;922.6;1.8;122.6
2017-05-07;11:00:00+00;7.9;922.5;2.1;117.6
2017-05-07;12:00:00+00;8.2;922.3;2;125.7
2017-05-07;13:00:00+00;9.6;921.1;1.8;129.4
2017-05-07;14:00:00+00;10.6;920;2.6;121.3
2017-05-07;15:00:00+00;10.1;920.2;2.8;120.9
2017-05-07;16:00:00+00;9.8;920.7;2.7;119.7
2017-05-07;17:00:00+00;9.5;920.9;2.6;115.8
2017-05-07;18:00:00+00;8.6;921.3;2.2;107.9
2017-05-07;19:00:00+00;7.3;922.2;3.6;116.8
2017-05-07;20:00:00+00;6.5;923;3.1;110.2
2017-05-07;21:00:00+00;5.7;923.2;3.1;121.1
2017-05-07;22:00:00+00;5.4;923.2;3;101.5
2017-05-07;23:00:00+00;4.8;923.3;3;113.7
2017-05-08;00:00:00+00;4.6;923.3;2.9;107.5
2017-05-08;01:00:00+00;4.7;923.1;2.7;111.6
2017-05-08;02:00:00+00;4.1;923;2.4;109.2
2017-05-08;03:00:00+00;4.1;922.8;2.3;108.4
2017-05-08;04:00:00+00;4.1;922.9;2.7;111.5
2017-05-08;05:00:00+00;4;923.3;3.1;123.5
2017-05-08;06:00:00+00;3.8;923.7;2.7;130.2
2017-05-08;07:00:00+00;3.6;924.1;1.8;144.7
2017-05-08;08:00:00+00;3.7;924.4;2.1;128
2017-05-08;09:00:00+00;4;924.3;2.2;124.8
2017-05-08;10:00:00+00;4.3;924.2;1.9;124.8
2017-05-08;11:00:00+00;4.6;924.2;1.8;112.6
2017-05-08;12:00:00+00;6.1;923.2;1.6;125.4
2017-05-08;13:00:00+00;7.9;922.3;2.4;114.6
2017-05-08;14:00:00+00;8.4;921.7;3.1;118.1
2017-05-08;15:00:00+00;8.1;922.1;3.5;123.8
2017-05-08;16:00:00+00;7.1;922.8;1.8;119.8
2017-05-08;17:00:00+00;6.7;923.6;2.4;129.1
2017-05-08;18:00:00+00;5.6;924.7;2.1;138.7
2017-05-08;19:00:00+00;4.4;925.6;1.8;141.4
2017-05-08;20:00:00+00;3.5;926.6;1.9;133.9
2017-05-08;21:00:00+00;3.3;926.8;2.5;120.6
2017-05-08;22:00:00+00;3.2;927;2.8;118.4
2017-05-08;23:00:00+00;2.9;927.1;1.8;144.5
2017-05-09;00:00:00+00;2.5;927.2;2.1;144
2017-05-09;01:00:00+00;1.5;927.6;1.5;166.1
2017-05-09;02:00:00+00;0.9;928;1.3;179.9
2017-05-09;03:00:00+00;0.4;928.3;0.9;166.3
2017-05-09;04:00:00+00;0.3;928.6;0.8;164.5
2017-05-09;05:00:00+00;0;929;1.4;149.9
2017-05-09;06:00:00+00;-0.5;929.1;2.8;124.2
2017-05-09;07:00:00+00;-0.9;929.8;2.7;130.9
2017-05-09;08:00:00+00;0.2;929.1;2.9;133.3
2017-05-09;09:00:00+00;0.6;928;3.1;126.4
2017-05-09;10:00:00+00;0.5;928.4;2.7;130.5
2017-05-09;11:00:00+00;0.7;928.5;2.1;150.5
2017-05-09;12:00:00+00;1.2;928.1;1.8;148.2
2017-05-09;13:00:00+00;2.1;927.3;2.9;130.8
2017-05-09;14:00:00+00;1.9;927.2;2.4;138.1
2017-05-09;15:00:00+00;1.8;927.2;2.6;142.3
2017-05-09;16:00:00+00;0.8;928.2;1.1;196.4
2017-05-09;17:00:00+00;1.6;928;1.9;141.4
2017-05-09;18:00:00+00;0.9;928.4;1.3;159.4
2017-05-09;19:00:00+00;0.2;929.5;1;144.2
2017-05-09;20:00:00+00;0;929.9;0.9;160.6
2017-05-09;21:00:00+00;-0.3;930.2;0.6;137.2
2017-05-09;22:00:00+00;-0.7;930.2;0.3;159.1
2017-05-09;23:00:00+00;-1;930.3;0.8;143.9
2017-05-10;00:00:00+00;-1.3;930.3;0.4;94
2017-05-10;01:00:00+00;-1.7;930.1;0.6;313.8
2017-05-10;02:00:00+00;-1.9;930.5;0.7;303
2017-05-10;03:00:00+00;-2.3;930.8;0.9;311.9
2017-05-10;04:00:00+00;-1.9;930.6;1;342
2017-05-10;05:00:00+00;-1.9;930.3;1.5;327.2
2017-05-10;06:00:00+00;-0.9;929.7;1.9;331.4
2017-05-10;07:00:00+00;1.1;927.3;2.1;338.3
2017-05-10;08:00:00+00;2.9;925.4;1.9;26.2
2017-05-10;09:00:00+00;3.8;924.8;2.3;49.1
2017-05-10;10:00:00+00;3.9;925;2.7;71.1
2017-05-10;11:00:00+00;4.5;924.9;2.1;22.8
2017-05-10;12:00:00+00;5.3;924.1;2.6;35.3
2017-05-10;13:00:00+00;5.6;923.6;2.9;37.6
2017-05-10;14:00:00+00;5.2;923.6;2.9;16
2017-05-10;15:00:00+00;5.2;924.2;3.5;19.3
2017-05-10;16:00:00+00;5.3;924.5;3.1;15.1
2017-05-10;17:00:00+00;5.2;924.2;2.7;8.7
2017-05-10;18:00:00+00;5;924.2;2.6;359.7
2017-05-10;19:00:00+00;4.1;924.7;2.5;348.6
2017-05-10;20:00:00+00;3.9;925;2.9;347.6
2017-05-10;21:00:00+00;3.9;925;3.4;338.6
2017-05-10;22:00:00+00;3.7;925.1;3.4;334.5
2017-05-10;23:00:00+00;3.9;925.1;3.5;339.9
2017-05-11;00:00:00+00;3.7;924.8;3.3;334
2017-05-11;01:00:00+00;3.8;924.6;3.4;330.8
2017-05-11;02:00:00+00;3.9;924.3;2.8;330.2
2017-05-11;03:00:00+00;4.1;923.9;2.9;328.7
2017-05-11;04:00:00+00;4.5;923.7;3;327.9
2017-05-11;05:00:00+00;5.2;923.3;3;324.7
2017-05-11;06:00:00+00;6.5;922.4;3;334.1
2017-05-11;07:00:00+00;7.7;921;3.6;341.3
2017-05-11;08:00:00+00;9.4;919.7;3.5;350.4
2017-05-11;09:00:00+00;11;918.8;3.5;349.3
2017-05-11;10:00:00+00;12.1;918;3.4;24.4
2017-05-11;11:00:00+00;13;917.7;2.5;27.6
2017-05-11;12:00:00+00;14.2;917.2;3.1;18.4
2017-05-11;13:00:00+00;15.3;916.5;3;37.5
2017-05-11;14:00:00+00;15.9;916.1;2.8;24
2017-05-11;15:00:00+00;15.6;916.1;2.5;357.8
2017-05-11;16:00:00+00;16;915.9;2.6;11.5
2017-05-11;17:00:00+00;16;915.6;3.1;15.8
2017-05-11;18:00:00+00;14.5;916.2;2.2;3.3
2017-05-11;19:00:00+00;12.5;917.7;1.4;318
2017-05-11;20:00:00+00;11.8;919.2;1.5;307.5
2017-05-11;21:00:00+00;11.8;919.4;1.8;304.7
2017-05-11;22:00:00+00;12.2;919;3.1;319.3
2017-05-11;23:00:00+00;12.1;918.7;3;322.9
2017-05-12;00:00:00+00;12.3;917.9;3;328
2017-05-12;01:00:00+00;12.6;917.2;3.1;331.7
2017-05-12;02:00:00+00;12.9;916.7;2.7;332.9
2017-05-12;03:00:00+00;12.9;916.2;2.8;297.7
2017-05-12;04:00:00+00;12.9;915.8;3.4;312.8
2017-05-12;05:00:00+00;12.6;916;2;334.2
2017-05-12;06:00:00+00;12.3;916;2.6;297
2017-05-12;07:00:00+00;13;915.8;1.9;324.6
2017-05-12;08:00:00+00;12.7;915.9;0.8;29.7
2017-05-12;09:00:00+00;13.1;915.9;1.5;3.4
2017-05-12;10:00:00+00;14.1;915.6;2.4;1.3
2017-05-12;11:00:00+00;15.6;914.7;2.2;43.5
2017-05-12;12:00:00+00;15.6;914.2;1.6;111.5
2017-05-12;13:00:00+00;13.4;915.9;1.7;327.2
2017-05-12;14:00:00+00;13.3;916.7;2.2;325.1
2017-05-12;15:00:00+00;15.3;915.8;2.1;340.1
2017-05-12;16:00:00+00;14.6;915.3;1.9;335.5
2017-05-12;17:00:00+00;13.5;916.2;2.3;334.8
2017-05-12;18:00:00+00;12.6;917.6;1.4;289.4
2017-05-12;19:00:00+00;11.1;919.2;1.7;238.2
2017-05-12;20:00:00+00;10.7;920.1;2.5;246.6
2017-05-12;21:00:00+00;10.8;920.4;2;271
2017-05-12;22:00:00+00;12.2;920.4;1.6;296.1
2017-05-12;23:00:00+00;12.6;920.1;1.5;309.4
2017-05-13;00:00:00+00;12.7;919.8;1.5;322.3
2017-05-13;01:00:00+00;11.8;919.8;0.5;330.3
2017-05-13;02:00:00+00;11.5;919.7;0.4;310.9
2017-05-13;03:00:00+00;11.1;920;0.7;267.1
2017-05-13;04:00:00+00;9.8;920.5;0.7;198.1
2017-05-13;05:00:00+00;9.5;921.2;0.3;161.5
2017-05-13;06:00:00+00;9.6;921.1;0.6;47.5
2017-05-13;07:00:00+00;9.8;920.7;0.7;65.1
2017-05-13;08:00:00+00;9.9;920.9;1.2;103.8
2017-05-13;09:00:00+00;9.7;922;1.5;130.4
2017-05-13;10:00:00+00;9.9;922.6;1.4;127.8
2017-05-13;11:00:00+00;10.2;922.6;1.8;125.9
2017-05-13;12:00:00+00;10.4;923.1;2.2;119.2
2017-05-13;13:00:00+00;11.8;922.9;2.1;125.4
2017-05-13;14:00:00+00;13.2;921.6;3;123.4
2017-05-13;15:00:00+00;13.7;921.9;2.4;135.5
2017-05-13;16:00:00+00;13.5;922.4;1.6;179.4
2017-05-13;17:00:00+00;12;922.9;2.2;222
2017-05-13;18:00:00+00;10.7;924.8;1.9;220.9
2017-05-13;19:00:00+00;9.7;926.6;2;232.5
2017-05-13;20:00:00+00;9.1;928;2;230.8
2017-05-13;21:00:00+00;8.8;928.7;1.1;258.5
2017-05-13;22:00:00+00;8.6;929.3;1.3;223.8
2017-05-13;23:00:00+00;8.7;929.7;1.1;212.7
2017-05-14;00:00:00+00;9.1;929.5;1;165.8
2017-05-14;01:00:00+00;8.9;929.8;0.4;142.8
2017-05-14;02:00:00+00;8.2;930.6;0.3;225.7
2017-05-14;03:00:00+00;8.2;931.7;1;219.9
2017-05-14;04:00:00+00;8.2;931.6;1.5;221.1
2017-05-14;05:00:00+00;8.6;931.7;1;185.7
2017-05-14;06:00:00+00;10.1;931.4;1.4;225.4
2017-05-14;07:00:00+00;12.1;929.4;1.2;193.1
2017-05-14;08:00:00+00;13;928.3;1.2;202.7
2017-05-14;09:00:00+00;13.9;928.2;1.3;208.2
2017-05-14;10:00:00+00;14.9;928.3;1.8;198.5
2017-05-14;11:00:00+00;16.1;928.2;1.5;216
2017-05-14;12:00:00+00;16.1;928.1;1.3;187.5
2017-05-14;13:00:00+00;17.1;928.3;1.8;205.5
2017-05-14;14:00:00+00;17;928.2;1.6;196.3
2017-05-14;15:00:00+00;17.5;928.1;1.4;200.4
2017-05-14;16:00:00+00;17.5;927.9;1.4;193.1
2017-05-14;17:00:00+00;16.7;928.3;1.3;193.4
2017-05-14;18:00:00+00;14.3;930.3;1.6;217.2
2017-05-14;19:00:00+00;12.9;932.5;2.4;235.1
2017-05-14;20:00:00+00;11.9;934;2.7;242.3
2017-05-14;21:00:00+00;11.8;934.8;2.3;252.9
2017-05-14;22:00:00+00;11.9;935.4;1.6;259.2
2017-05-14;23:00:00+00;12.4;935.8;0.9;251.7
2017-05-15;00:00:00+00;12.3;936;0.6;265.9
2017-05-15;01:00:00+00;12.3;936;0.7;243.7
2017-05-15;02:00:00+00;12.6;936;0.4;252
2017-05-15;03:00:00+00;12.5;936.2;0.3;295.1
2017-05-15;04:00:00+00;12.2;936.2;0.5;292.3
2017-05-15;05:00:00+00;12.7;936.3;0.5;214
2017-05-15;06:00:00+00;13.4;935.8;0.5;108.6
2017-05-15;07:00:00+00;14.2;934.9;0.7;110.3
2017-05-15;08:00:00+00;14;934.3;1.5;130.5
2017-05-15;09:00:00+00;13.7;934.4;1.8;131.9
2017-05-15;10:00:00+00;14.4;934.5;2.5;127.6
2017-05-15;11:00:00+00;15.6;933.9;2.9;130.4
2017-05-15;12:00:00+00;15.2;934.2;3.3;124.6
2017-05-15;13:00:00+00;14.1;935;3;124.5
2017-05-15;14:00:00+00;13.6;935.8;2.1;128.2
2017-05-15;15:00:00+00;14.2;935.5;2;126.2
2017-05-15;16:00:00+00;13.6;935.5;2.2;125.9
2017-05-15;17:00:00+00;12.6;936.7;1.6;127.4
2017-05-15;18:00:00+00;12.5;937.2;1.1;139.1
2017-05-15;19:00:00+00;11;938;2.1;215.8
2017-05-15;20:00:00+00;10.2;939.3;0.9;259
2017-05-15;21:00:00+00;10.3;940.3;0.7;226.3
2017-05-15;22:00:00+00;10.3;940.9;0.6;193.4
2017-05-15;23:00:00+00;9.8;941.1;0.6;185.9
2017-05-16;00:00:00+00;9.6;941;0.6;211.6
2017-05-16;01:00:00+00;9.5;941;0.4;202
2017-05-16;02:00:00+00;9.6;941;0.3;203.3
2017-05-16;03:00:00+00;9.3;941;0.3;208.1
2017-05-16;04:00:00+00;8.8;941.4;0.4;340.4
2017-05-16;05:00:00+00;9.1;941;0.4;111.1
2017-05-16;06:00:00+00;9.4;940.8;0.4;142.7
2017-05-16;07:00:00+00;10.2;940.3;0.5;106.8
2017-05-16;08:00:00+00;10.8;939.9;0.9;80.7
2017-05-16;09:00:00+00;11.9;938.9;1.9;128
2017-05-16;10:00:00+00;13.7;937.9;2.6;124.6
2017-05-16;11:00:00+00;13.5;937.4;2.8;125.6
2017-05-16;12:00:00+00;14.6;937;2.7;121.6
2017-05-16;13:00:00+00;15.2;936.2;3.2;122.9
2017-05-16;14:00:00+00;15.6;935.9;3.9;120.7
2017-05-16;15:00:00+00;15.7;935.9;3.6;124.3
2017-05-16;16:00:00+00;15.3;936;3;129.5
2017-05-16;17:00:00+00;14.7;936.1;2.6;128.4
2017-05-16;18:00:00+00;14.2;936.9;0.9;170.6
2017-05-16;19:00:00+00;12.5;937.8;1.1;220.8
2017-05-16;20:00:00+00;11.1;939.5;1.3;217.8
2017-05-16;21:00:00+00;10.7;940.5;1.1;220.6
2017-05-16;22:00:00+00;10.3;941.1;0.9;225.1
2017-05-16;23:00:00+00;10.1;941.4;0.6;225.7
2017-05-17;00:00:00+00;9.8;941.4;0.8;232.7
2017-05-17;01:00:00+00;9.7;941.2;1.3;238.1
2017-05-17;02:00:00+00;9.6;940.9;1.7;245.5
2017-05-17;03:00:00+00;9.7;940.5;1.7;239.2
2017-05-17;04:00:00+00;9.9;940.5;1.5;250.8
2017-05-17;05:00:00+00;10.4;940.2;0.8;253.3
2017-05-17;06:00:00+00;12.6;938.8;0.5;248.6
2017-05-17;07:00:00+00;14.3;935.7;0.7;198.9
2017-05-17;08:00:00+00;15.2;934.3;1.3;147.4
2017-05-17;09:00:00+00;16;933.5;1.6;173.2
2017-05-17;10:00:00+00;15.8;933.4;1.3;198.2
2017-05-17;11:00:00+00;15.9;933.8;1.5;236.9
2017-05-17;12:00:00+00;16.6;933.2;1.4;277
2017-05-17;13:00:00+00;17.5;932.4;1.6;259.8
